complaint_id,title,text,category,priority,location,existing,resolution_summary
CMP0001,Verge water pipeline has burst and water is,Verge water pipeline has burst and water is flooding the road in anna nagar please look into this as soon as possible.,Water Supply,Critical,Block B,1,Water supply issue addressed and supply restored.
CMP0002,No water supply in mg road for 15,No water supply in mg road for 15 days affecting many houses.,Water Supply,High,Kannagi Street,1,Water supply issue addressed and supply restored.
CMP0003,Water leakage from the main line is wasting,Water leakage from the main line is wasting huge amounts and flooding anna nagar please look into this as soon as possible.,Water Supply,Critical,Block B,1,Water supply issue addressed and supply restored.
CMP0004,Verge water pipeline has burst and water is,Verge water pipeline has burst and water is flooding the road in sector 12.,Water Supply,Critical,First Cross Street,1,Water supply issue addressed and supply restored.
CMP0005,Water leakage from the main line is wasting,Water leakage from the main line is wasting huge amounts and flooding block b.,Water Supply,Critical,Anna Nagar,0,Water supply issue addressed and supply restored.
CMP0006,Not receiving drinking water in jubilee bus stop,Not receiving drinking water in jubilee bus stop for three days please look into this as soon as possible.,Water Supply,High,Jubilee Bus Stop,1,Water supply issue addressed and supply restored.
CMP0007,No water supply in lake view road for,No water supply in lake view road for 2 days affecting many houses.,Water Supply,High,Jubilee Bus Stop,1,Water supply issue addressed and supply restored.
CMP0008,Water leakage from the main line is wasting,Water leakage from the main line is wasting huge amounts and flooding anna nagar.,Water Supply,Critical,Kannagi Street,1,Water supply issue addressed and supply restored.
CMP0009,Water pressure is very low in sector 12,Water pressure is very low in sector 12 during morning hours.,Water Supply,Medium,Near The City School,1,Water supply issue addressed and supply restored.
CMP0010,Water comes only for a few minutes in,Water comes only for a few minutes in block b these days please look into this as soon as possible.,Water Supply,Medium,Mg Road,0,Water supply issue addressed and supply restored.
CMP0011,The main pipeline supplying kannagi street has stopped,The main pipeline supplying kannagi street has stopped working please look into this as soon as possible.,Water Supply,High,Kannagi Street,1,Water supply issue addressed and supply restored.
CMP0012,Tank water not filled in gandhi street for,Tank water not filled in gandhi street for this week.,Water Supply,Medium,Main Road Near The Market,1,Water supply issue addressed and supply restored.
CMP0013,Tank water not filled in block b for,Tank water not filled in block b for this week please look into this as soon as possible.,Water Supply,Medium,Mg Road,1,Water supply issue addressed and supply restored.
